id,data,produto,cliente,quantidade
189,2022-08-14,FARINHA,DOLLY,54
190,2022-04-24,CANETA,MACAXEIRA,61
191,2022-07-17,BORRACHA,MACAXEIRA,128
192,2022-03-03,PAPEL,MACAXEIRA,127
193,2022-02-21,FARINHA,ACALME,73
194,2022-07-21,PAPEL,SANTAROSA,98
195,2022-02-11,FARINHA,ACALME,103
196,2022-08-04,CAFE,PILAO,82
197,2022-01-22,FARINHA,SANTAROSA,140
198,2022-01-29,CANETA,ACALME,128
199,2022-05-18,PLASTICO,MACAXEIRA,97
200,2022-09-05,PAPEL,ACALME,108
201,2022-05-11,CANETA,MACAXEIRA,57
202,2022-06-29,CANETA,SANTAROSA,117
203,2022-01-11,FARINHA,MACAXEIRA,52
204,2022-10-29,CAFE,ACALME,135
205,2022-10-20,SAL,MACAXEIRA,78
206,2022-10-13,SABAO,XOQUE,99
207,2022-03-09,SABAO,XOQUE,147
208,2022-11-09,CANETA,XOQUE,84
209,2022-05-28,ADESIVO,PILAO,96
210,2022-12-27,PAPEL,XOQUE,110
211,2022-02-10,CAFE,CHIMBALAIE,95
212,2022-05-13,CANETA,SANTAROSA,92
213,2022-11-21,ADESIVO,SANTAROSA,134
214,2022-10-01,PAPEL,CHIMBALAIE,144
215,2022-05-16,ADESIVO,PILAO,134
216,2022-02-01,PAPEL,MACAXEIRA,75
217,2022-11-04,SAL,CHIMBALAIE,139
218,2022-07-31,SABAO,CHIMBALAIE,57
219,2022-05-10,SABAO,SANTAROSA,92
220,2022-11-16,PAPEL,XOQUE,72
221,2022-10-30,CANETA,CHIMBALAIE,120
222,2022-07-28,BORRACHA,PILAO,120
223,2022-12-13,FARINHA,SANTAROSA,50
224,2022-11-23,ADESIVO,PILAO,88
225,2022-09-03,SABAO,ACALME,66
226,2022-01-17,BORRACHA,MACAXEIRA,90
227,2022-07-24,ADESIVO,CHIMBALAIE,128
228,2022-04-21,PLASTICO,CHIMBALAIE,113
229,2022-05-19,CANETA,MACAXEIRA,130
230,2022-09-21,CAFE,CHIMBALAIE,139
231,2023-01-28,SAL,ACALME,137
232,2022-11-30,SAL,ACALME,129
233,2022-08-15,PAPEL,ACALME,90
234,2022-11-11,SABAO,CHIMBALAIE,148
235,2022-06-18,CAFE,SANTAROSA,89
236,2022-10-18,ADESIVO,SANTAROSA,72
237,2022-03-08,CAFE,ACALME,53
238,2022-12-25,SABAO,PILAO,123
239,2022-10-01,SABAO,CHIMBALAIE,78
240,2022-11-30,BORRACHA,DOLLY,118
241,2022-02-16,CANETA,CHIMBALAIE,126
242,2022-02-22,SAL,XOQUE,75
243,2022-05-09,CAFE,CHIMBALAIE,72
244,2022-01-11,ADESIVO,XOQUE,110
245,2022-01-08,FARINHA,XOQUE,103
246,2022-11-02,FARINHA,SANTAROSA,128
247,2023-01-13,CANETA,ACALME,102
248,2022-10-26,CAFE,SANTAROSA,67
249,2022-01-14,SABAO,XOQUE,104
250,2022-03-20,FARINHA,ACALME,61
251,2022-09-13,CANETA,DOLLY,86
252,2022-05-11,CANETA,CHIMBALAIE,97
253,2022-10-27,PLASTICO,XOQUE,96
254,2022-10-04,FARINHA,ACALME,67
255,2022-03-04,CANETA,CHIMBALAIE,53
256,2022-07-07,CANETA,CHIMBALAIE,89
257,2023-01-20,FARINHA,ACALME,59
258,2022-02-17,ADESIVO,ACALME,109
259,2022-09-16,SAL,XOQUE,53
260,2022-03-05,PLASTICO,PILAO,71
261,2022-10-25,SABAO,ACALME,88
262,2023-01-04,SABAO,ACALME,93
263,2022-07-28,SAL,PILAO,131
264,2022-05-14,CANETA,DOLLY,86
265,2022-07-05,FARINHA,MACAXEIRA,83
266,2022-12-06,BORRACHA,PILAO,76
267,2022-10-18,SABAO,PILAO,84
268,2023-01-06,BORRACHA,XOQUE,116
269,2022-05-19,CANETA,PILAO,54
270,2022-02-26,CAFE,XOQUE,142
271,2022-05-02,ADESIVO,ACALME,72
272,2022-09-30,ADESIVO,MACAXEIRA,86
273,2022-07-10,BORRACHA,PILAO,68
274,2022-01-11,PLASTICO,DOLLY,100
275,2022-12-30,PLASTICO,CHIMBALAIE,107
276,2022-07-03,CANETA,ACALME,91
277,2022-06-20,SABAO,DOLLY,75
278,2023-01-17,PLASTICO,PILAO,80
279,2022-07-19,SABAO,SANTAROSA,145
280,2022-05-08,PAPEL,MACAXEIRA,141
281,2022-01-28,SAL,PILAO,109
282,2022-01-30,CANETA,ACALME,128
283,2022-05-27,BORRACHA,SANTAROSA,75
284,2022-10-26,PLASTICO,SANTAROSA,98
285,2022-01-24,ADESIVO,DOLLY,86
286,2022-09-11,PLASTICO,SANTAROSA,70
287,2022-10-16,CAFE,CHIMBALAIE,66
288,2022-07-17,ADESIVO,MACAXEIRA,97
289,2022-05-26,BORRACHA,XOQUE,146
290,2022-10-20,PLASTICO,PILAO,64
291,2022-01-30,CANETA,ACALME,118
292,2022-08-18,PLASTICO,ACALME,119
293,2022-03-27,PAPEL,CHIMBALAIE,139
294,2022-11-28,PLASTICO,SANTAROSA,76
295,2022-10-28,ADESIVO,XOQUE,125
296,2022-11-28,CANETA,PILAO,124
297,2022-10-25,BORRACHA,XOQUE,123
298,2022-11-15,FARINHA,ACALME,112
299,2022-01-17,SABAO,DOLLY,50
300,2022-06-16,ADESIVO,XOQUE,115
301,2023-01-22,CANETA,SANTAROSA,79
302,2022-12-31,FARINHA,XOQUE,65
303,2022-01-27,SABAO,XOQUE,89
304,2023-01-17,PLASTICO,XOQUE,73
305,2022-12-12,BORRACHA,CHIMBALAIE,96
306,2022-07-23,SABAO,ACALME,51
307,2022-12-08,SABAO,DOLLY,116
308,2022-12-30,FARINHA,CHIMBALAIE,94
309,2022-09-05,CANETA,SANTAROSA,70
310,2022-04-23,ADESIVO,XOQUE,112
311,2022-10-18,FARINHA,DOLLY,130
312,2022-01-11,PLASTICO,ACALME,114
313,2022-09-24,SAL,PILAO,56
314,2022-09-29,BORRACHA,SANTAROSA,93
315,2022-10-28,SABAO,PILAO,130
316,2022-02-17,PLASTICO,MACAXEIRA,100
317,2022-11-04,FARINHA,DOLLY,74
318,2022-05-21,PAPEL,XOQUE,54
319,2022-10-21,BORRACHA,MACAXEIRA,61
320,2022-03-25,PAPEL,SANTAROSA,131
321,2022-12-10,ADESIVO,DOLLY,58
322,2022-01-02,SAL,MACAXEIRA,74
323,2022-05-23,SABAO,PILAO,63
324,2022-10-13,FARINHA,DOLLY,51
325,2022-03-17,CAFE,CHIMBALAIE,100
326,2022-04-09,BORRACHA,ACALME,112
327,2022-12-30,SABAO,MACAXEIRA,57
328,2023-01-03,PLASTICO,DOLLY,107
329,2022-02-04,FARINHA,MACAXEIRA,99
330,2022-02-19,PLASTICO,DOLLY,73
331,2023-01-01,FARINHA,CHIMBALAIE,68
332,2022-04-07,ADESIVO,DOLLY,89
333,2022-01-03,SAL,MACAXEIRA,87
334,2022-08-22,ADESIVO,PILAO,64
335,2022-12-27,SAL,XOQUE,138
336,2022-11-14,FARINHA,PILAO,116
337,2022-06-20,CANETA,ACALME,135
338,2022-01-14,BORRACHA,DOLLY,111
339,2022-02-12,FARINHA,CHIMBALAIE,112
340,2022-05-06,PLASTICO,DOLLY,57
341,2022-01-17,PLASTICO,DOLLY,109
342,2022-04-13,CAFE,MACAXEIRA,57
343,2022-11-06,PAPEL,SANTAROSA,64
344,2022-11-16,CANETA,PILAO,149
345,2023-01-30,SABAO,PILAO,50
346,2022-04-09,CAFE,MACAXEIRA,90
347,2022-06-17,ADESIVO,ACALME,138
348,2022-01-01,PLASTICO,PILAO,63
349,2022-04-01,CAFE,CHIMBALAIE,55
350,2023-01-08,BORRACHA,CHIMBALAIE,71
351,2023-01-21,CAFE,PILAO,144
352,2022-07-23,ADESIVO,SANTAROSA,50
353,2022-09-27,ADESIVO,SANTAROSA,51
354,2022-04-29,CANETA,ACALME,133
355,2022-07-09,CAFE,PILAO,115
356,2022-04-09,SAL,CHIMBALAIE,91
357,2022-06-27,ADESIVO,ACALME,145
358,2022-03-14,BORRACHA,ACALME,106
359,2022-01-11,FARINHA,DOLLY,89
360,2022-12-21,SABAO,CHIMBALAIE,95
361,2022-03-24,FARINHA,XOQUE,127
362,2022-10-31,BORRACHA,ACALME,71
363,2022-08-17,CAFE,ACALME,88
364,2022-09-12,FARINHA,MACAXEIRA,79
365,2022-12-30,SABAO,MACAXEIRA,139
366,2022-09-10,CANETA,SANTAROSA,140
367,2022-06-15,SAL,DOLLY,149
368,2022-01-05,FARINHA,XOQUE,109
369,2022-11-04,BORRACHA,SANTAROSA,89
370,2022-07-26,BORRACHA,PILAO,104
371,2022-04-05,CAFE,CHIMBALAIE,53
372,2022-04-01,PLASTICO,XOQUE,109
373,2022-12-02,CAFE,ACALME,74
374,2022-08-16,FARINHA,SANTAROSA,146
375,2022-05-01,SAL,MACAXEIRA,70
376,2022-08-19,ADESIVO,PILAO,53
377,2022-04-19,FARINHA,CHIMBALAIE,69
378,2022-08-28,PLASTICO,MACAXEIRA,105
379,2022-10-12,BORRACHA,XOQUE,145
380,2022-05-13,PLASTICO,SANTAROSA,55
381,2023-01-23,CANETA,CHIMBALAIE,140
382,2022-07-27,CANETA,XOQUE,96
383,2022-09-30,BORRACHA,SANTAROSA,149
384,2023-01-16,ADESIVO,DOLLY,57
385,2022-08-23,ADESIVO,SANTAROSA,110
386,2022-09-27,FARINHA,ACALME,60
387,2022-04-05,SABAO,MACAXEIRA,103
388,2022-11-30,SABAO,XOQUE,140
389,2022-07-17,CANETA,MACAXEIRA,66
390,2022-09-12,CANETA,PILAO,109
391,2022-03-30,BORRACHA,MACAXEIRA,89
392,2022-09-02,BORRACHA,XOQUE,149
393,2022-12-31,BORRACHA,SANTAROSA,144
394,2022-11-03,SABAO,ACALME,140
395,2022-05-09,SABAO,CHIMBALAIE,120
396,2022-02-19,SAL,XOQUE,81
397,2022-11-12,ADESIVO,CHIMBALAIE,125
398,2022-11-02,SABAO,XOQUE,78
399,2022-12-29,CAFE,CHIMBALAIE,113
400,2022-12-20,CAFE,PILAO,56
401,2022-01-20,FARINHA,ACALME,134
402,2022-11-25,SABAO,PILAO,54
403,2022-07-07,PAPEL,CHIMBALAIE,143
404,2022-03-16,ADESIVO,MACAXEIRA,81
405,2022-05-05,BORRACHA,XOQUE,51
406,2022-03-18,ADESIVO,DOLLY,77
407,2022-01-02,PLASTICO,XOQUE,137
408,2022-12-25,PAPEL,ACALME,104
409,2022-06-17,FARINHA,ACALME,118
410,2022-08-09,PLASTICO,PILAO,92
411,2022-01-28,SAL,CHIMBALAIE,60
412,2022-11-21,PAPEL,XOQUE,138
413,2022-08-18,SAL,PILAO,69
414,2022-04-09,SABAO,PILAO,92
415,2022-11-06,CAFE,SANTAROSA,130
416,2022-05-28,CAFE,ACALME,50
417,2022-05-10,CAFE,PILAO,130
418,2022-06-04,SABAO,SANTAROSA,123
419,2022-09-17,PLASTICO,MACAXEIRA,135
420,2022-12-21,FARINHA,CHIMBALAIE,140
421,2022-02-16,PAPEL,CHIMBALAIE,100
422,2022-07-24,CANETA,SANTAROSA,110
423,2022-08-04,PAPEL,PILAO,129
424,2022-07-05,BORRACHA,ACALME,134
425,2022-05-28,BORRACHA,SANTAROSA,146
426,2022-12-11,SABAO,ACALME,106
427,2022-12-13,SAL,DOLLY,75
428,2022-02-06,SABAO,CHIMBALAIE,131
429,2023-01-21,ADESIVO,MACAXEIRA,84
430,2022-07-18,BORRACHA,CHIMBALAIE,104
431,2022-01-21,FARINHA,PILAO,147
432,2022-12-20,BORRACHA,ACALME,89
433,2022-03-22,PAPEL,DOLLY,73
434,2022-12-09,FARINHA,SANTAROSA,120
435,2022-01-05,SABAO,DOLLY,124
436,2022-02-26,SAL,CHIMBALAIE,99
437,2022-11-22,CAFE,PILAO,140
438,2022-12-27,CANETA,PILAO,96
439,2022-01-02,PLASTICO,PILAO,110
440,2023-01-21,CANETA,XOQUE,134
441,2023-01-30,PAPEL,CHIMBALAIE,141
442,2022-11-14,ADESIVO,PILAO,108
443,2022-05-05,PLASTICO,CHIMBALAIE,60
444,2022-03-25,PAPEL,SANTAROSA,66
445,2022-10-21,BORRACHA,MACAXEIRA,101
446,2022-06-05,SAL,MACAXEIRA,95
447,2022-12-06,SABAO,MACAXEIRA,59
448,2022-03-14,ADESIVO,ACALME,105
449,2022-12-27,PLASTICO,CHIMBALAIE,114
450,2022-10-07,SAL,ACALME,127
451,2022-07-11,PLASTICO,SANTAROSA,123
452,2023-01-14,SAL,MACAXEIRA,69
453,2022-09-19,CANETA,ACALME,131
454,2022-09-20,FARINHA,PILAO,113
455,2022-12-13,PAPEL,PILAO,146
456,2022-02-20,CAFE,PILAO,124
457,2022-07-19,CAFE,PILAO,148
458,2022-09-05,CANETA,ACALME,85
459,2022-01-24,FARINHA,PILAO,139
460,2022-01-31,BORRACHA,SANTAROSA,95
461,2022-11-14,CAFE,CHIMBALAIE,53
462,2022-08-09,FARINHA,PILAO,117
463,2022-05-24,BORRACHA,CHIMBALAIE,104
464,2023-01-14,FARINHA,PILAO,121
465,2022-01-07,PLASTICO,SANTAROSA,106
466,2022-11-04,ADESIVO,PILAO,82
467,2022-12-08,BORRACHA,MACAXEIRA,134
468,2022-04-27,FARINHA,DOLLY,76
469,2022-03-04,SAL,MACAXEIRA,69
470,2023-01-11,FARINHA,CHIMBALAIE,146
471,2022-07-03,BORRACHA,MACAXEIRA,62
472,2022-11-30,CAFE,SANTAROSA,78
473,2022-04-12,ADESIVO,CHIMBALAIE,77
474,2023-01-23,SABAO,PILAO,118
475,2022-06-04,BORRACHA,PILAO,114
476,2022-04-27,FARINHA,PILAO,127
477,2022-03-19,SAL,DOLLY,93
478,2022-04-29,SAL,DOLLY,89
479,2022-10-19,PLASTICO,MACAXEIRA,62
480,2022-04-05,CAFE,MACAXEIRA,145
481,2023-01-23,FARINHA,MACAXEIRA,118
482,2023-01-18,PAPEL,ACALME,80
483,2022-12-03,PAPEL,PILAO,61
484,2022-06-16,PLASTICO,ACALME,143
485,2022-09-28,SAL,MACAXEIRA,123
486,2022-04-21,SABAO,XOQUE,91
487,2022-03-23,PLASTICO,MACAXEIRA,116
488,2022-11-24,SAL,ACALME,73
489,2022-09-05,PLASTICO,PILAO,115
490,2022-06-12,BORRACHA,MACAXEIRA,94
491,2022-12-23,SAL,MACAXEIRA,142
492,2022-07-23,PAPEL,SANTAROSA,85
493,2022-12-13,BORRACHA,MACAXEIRA,59
494,2022-09-01,BORRACHA,PILAO,78
495,2022-06-13,CAFE,XOQUE,112
496,2022-09-18,BORRACHA,CHIMBALAIE,112
497,2022-10-11,PLASTICO,PILAO,92
498,2022-10-12,ADESIVO,DOLLY,98
499,2022-02-06,ADESIVO,XOQUE,108
500,2023-01-26,CANETA,SANTAROSA,87
501,2022-12-12,FARINHA,CHIMBALAIE,115
502,2022-04-15,ADESIVO,XOQUE,141
503,2022-04-21,PLASTICO,SANTAROSA,100
504,2022-08-25,CAFE,CHIMBALAIE,124
505,2022-08-10,CAFE,CHIMBALAIE,134
506,2022-03-11,CANETA,MACAXEIRA,133
507,2022-05-12,PLASTICO,CHIMBALAIE,117
508,2022-08-11,BORRACHA,XOQUE,61
509,2022-07-17,PLASTICO,XOQUE,123
510,2022-06-08,PAPEL,ACALME,100
511,2022-09-18,FARINHA,SANTAROSA,145
512,2022-08-02,BORRACHA,CHIMBALAIE,58
513,2022-12-15,SABAO,SANTAROSA,58
514,2022-05-31,SAL,ACALME,131
515,2022-06-07,BORRACHA,ACALME,101
516,2022-10-06,PAPEL,MACAXEIRA,70
517,2022-02-15,CANETA,CHIMBALAIE,117
518,2022-12-11,CANETA,SANTAROSA,125
519,2022-08-18,PAPEL,XOQUE,78
520,2022-10-12,FARINHA,CHIMBALAIE,128
521,2023-01-19,SAL,ACALME,105
522,2022-04-18,PAPEL,ACALME,54
523,2022-08-17,SABAO,PILAO,64
524,2022-04-19,PAPEL,DOLLY,120
525,2022-08-31,PAPEL,SANTAROSA,138
526,2022-02-26,CAFE,SANTAROSA,116
527,2022-07-10,FARINHA,ACALME,116
528,2022-09-28,PAPEL,XOQUE,145
529,2022-10-02,PLASTICO,PILAO,95
530,2022-05-03,ADESIVO,PILAO,133
531,2022-07-11,CANETA,SANTAROSA,137
532,2022-07-26,ADESIVO,DOLLY,96
533,2022-11-28,PLASTICO,DOLLY,138
534,2022-12-20,ADESIVO,CHIMBALAIE,139
535,2022-03-02,SAL,DOLLY,141
536,2022-01-09,CANETA,MACAXEIRA,85
537,2022-01-26,FARINHA,CHIMBALAIE,94
538,2022-09-29,CAFE,CHIMBALAIE,87
539,2022-04-30,CANETA,ACALME,130
540,2022-01-20,SABAO,DOLLY,109
541,2022-07-10,CAFE,MACAXEIRA,126
542,2022-02-24,ADESIVO,MACAXEIRA,118
543,2022-06-26,SABAO,ACALME,77
544,2022-06-02,FARINHA,PILAO,90
545,2022-05-30,ADESIVO,ACALME,59
546,2022-11-08,FARINHA,XOQUE,113
547,2022-02-20,FARINHA,CHIMBALAIE,106
548,2022-02-01,SABAO,CHIMBALAIE,68
549,2022-12-20,FARINHA,ACALME,118
550,2022-04-16,SABAO,CHIMBALAIE,52
551,2022-08-15,CANETA,PILAO,58
552,2022-08-08,PLASTICO,SANTAROSA,94
553,2022-11-01,PLASTICO,CHIMBALAIE,62
554,2022-01-12,SABAO,SANTAROSA,120
555,2022-06-20,PLASTICO,DOLLY,148
556,2022-05-17,PAPEL,MACAXEIRA,98
557,2022-05-31,CAFE,MACAXEIRA,99
558,2022-07-12,BORRACHA,SANTAROSA,73
559,2022-06-27,PAPEL,DOLLY,123
560,2022-04-30,BORRACHA,ACALME,104
561,2022-08-14,SABAO,MACAXEIRA,131
562,2022-02-08,CAFE,SANTAROSA,58
563,2022-04-02,FARINHA,SANTAROSA,145
564,2022-08-23,PLASTICO,XOQUE,80
565,2022-05-14,FARINHA,MACAXEIRA,67
566,2022-04-09,BORRACHA,XOQUE,121
567,2022-08-03,CANETA,DOLLY,136
568,2023-01-02,PAPEL,DOLLY,93
569,2022-05-25,CANETA,CHIMBALAIE,106
570,2022-05-21,PAPEL,XOQUE,75
571,2022-11-06,CAFE,CHIMBALAIE,75
572,2022-07-25,CAFE,DOLLY,96
573,2022-02-01,BORRACHA,CHIMBALAIE,130
574,2022-08-03,SAL,XOQUE,147
575,2022-05-26,PLASTICO,SANTAROSA,141
576,2022-02-28,CANETA,PILAO,57
577,2022-02-22,FARINHA,MACAXEIRA,76
578,2022-04-29,BORRACHA,ACALME,136
579,2023-01-17,CANETA,MACAXEIRA,67
580,2022-06-01,PAPEL,SANTAROSA,104
581,2022-03-28,SABAO,XOQUE,62
582,2022-11-02,SAL,MACAXEIRA,66
583,2022-10-07,CANETA,MACAXEIRA,101
